childId;childLocation;grandmaLocation
2012;HILVARENB;
1344;MUNSTER;
1518;munster;
1695;LONGLEAT;
2066;MUNSTER;
1165;HILVARENB;
811;WHIPSNADE;
868;MARWELL;
918;PT ST PER;
974;MUNSTER;
1010;LISIEUX Z;
1047;HILVARENB;
1173;SO LAKES;
1338;BORAS;
1469;WHIPSNADE;
1638;WHIPSNADE;
838;RAMAT GAN;
787;RAMAT GAN;
945;JERUSALEM;
1050;RAMAT GAN;
1028;RAMAT GAN;
1084;RAMAT GAN;
1305;DVURKRALV;
1590;HODENHAGN;
1628;OSNABRUCK;
2021;HODENHAGN;
2022;HODENHAGN;
2004;HILVARENB;
T105;HILVARENB;
1393;SCHWERIN;
1489;PELISSANE;
1617;GIVSKUD;
1996;KERKRADE;
1233;BORAS;
1466;MALTON;
1277;POZNAN;
1462;PEAUGRES;
1660;POZNAN;
1456;ERFURT;
1581;DORTMUND;
1609;WHIPSNADE;
1318;KNOWSLEY;
1562;KNOWSLEY;
1439;KNOWSLEY;
1472;KNOWSLEY;
1591;BURFORD;
1645;LILLE ZO;
2041;KNOWSLEY;
1501;CABARCENO;
1606;BLAIRDRUM;
1340;ARNHEM;
1515;MALTON;
1636;ATTICAZOO;
1592;HODENHAGN;
1691;VESZPREM;
927;JACKSONVL;
1171;BORAS;
1339;BORAS;
1425;KESSINGLA;
1525;KERKRADE;
988;CABARCENO;
1156;EMMEN;
1183;KOLMARDEN;
1288;EMMEN;
1251;GIVSKUD;
1424;MONTPELLI;
1526;KERKRADE;
1632;ATTICAZOO;
1658;BORAS;
1196;LISIEUX Z;
1284;AUGSBURG;
1351;PARIS ZOO;
1025;ARNHEM;
1280;VESZPREM;
967;BLAIRDRUM;
1437;RAMAT GAN;
1596;LONGLEAT;
2005;ARNHEM;
2067;BORAS;
2058;LA PALMYR;
